Resourse,Location,Emotion,Perception,PerceptionScore,ResourceType,Appropriation,AppropriationScore,Gender,Age,Respondent,respondweight,local_priority,tourist_priority,expert_priority,,
Набережная Верхнего пруда,"Верхний пруд, набережная",радостное спокойствие,положительные,2,природные особенности,важны,4,женский,35-44,турист,1,0,1,0,,
Набережная Верхнего пруда,Набережная пруда,положительные,положительные,2,природные особенности,важны,4,женский,25-34,турист,1,0,1,0,,
Набережная Верхнего пруда,Набережная,позитивные,положительные,2,"визуальные и средовые компоненты (материальные объекты, архитектура, благоустройство)",важны,4,мужской,35-44,турист,1,0,1,0,,
Набережная Верхнего пруда,Набережная у озера,"Красиво, комфортно гулять, не слишком много народу",положительные,2,природные особенности,важны,4,женский,45-54,турист,1,0,1,0,,
Набережная Верхнего пруда,Центральная набережная,Радость и умиротворение от созерцания природы,положительные,2,природные особенности,скорее важны,3,женский,65 и более,турист,1,0,1,0,,
Набережная Верхнего пруда,Набережная Верхнего пруда (около музея),"Очень сильно люблю воду, поэтому это место вызывает очень много спокойствия и умиротворения",положительные,2,природные особенности,скорее важны,3,женский,18-24,местный житель,1,1,0,0,,
Набережная Верхнего пруда,Набережная ,"Радость, свобода, чистота ",положительные,2,"визуальные и средовые компоненты (материальные объекты, архитектура, благоустройство)",важны,4,женский,18-24,"эксперт (урбанист, экскурсовод, работник местной администрации)",1,0,0,1,,
Набережная Верхнего пруда,Набережная Верхнего пруда,"Начало знакомства с городом - простор в центре города, лес, пляж, домики, как в деревне. Простор и уют, но и современное",положительные,2,природные особенности,важны,4,мужской,35-44,"эксперт (урбанист, экскурсовод, работник местной администрации)",1,0,0,1,,
Набережная Верхнего пруда,Верхний пруд,"визуальный простор, уникальный природный ресурс",положительные,2,природные особенности,важны,4,женский,18-24,"эксперт (урбанист, экскурсовод, работник местной администрации)",1,0,0,1,,
Набережная Верхнего пруда,Крытые лавочки на набережной,Встреча рассветов летом,положительные,2,природные особенности,важны,4,мужской,до 18 лет,местный житель,1,1,0,0,,
Набережная Верхнего пруда,Плотина (набережная верхнего пруда),Хорошие,положительные,2,"статусы, бренды, репутация города (например, “Выкса – город современного искусства”)",важны,4,женский,35-44,местный житель,1,1,0,0,,
Набережная Верхнего пруда,Набережная Верхнего пруда,Умиротворение ,положительные,2,природные особенности,важны,4,женский,35-44,местный житель,1,1,0,0,,
Набережная Верхнего пруда,Верхний пруд,Радость,положительные,2,природные особенности,важны,4,женский,35-44,местный житель,1,1,0,0,,
Центральный парк,Городской парк ,"Очень тёплые ассоциации, потому что там располагался парк аттракционов (он там до сих пор есть). В детстве часто туда ходила ради развлечения, а когда выросла стала больше обращать внимания на природу. Сейчас это скорее возможность среди города попасть в мини зелёную зону.",положительные,2,"уникальные или знаковые события (праздники и фестивали, исторические даты, мифы и легенды)",важны,4,женский,18-24,местный житель,1,1,0,0,,
Центральный парк,"Парк культуры и отдыха. Он находится рядом со стадионом ""Металлург"".","Парк- это особое место нашего города. В летнее время здесь можно провести целый день: покататься на каруселях, понаблюдать за лебедями, плавающими по водоёму, поесть шашлыка. В праздничные дни в парке проводят конкурсы и мастер- классы. Всё это заряжает энергией и хорошим настроением.",положительные,2,"визуальные и средовые компоненты (материальные объекты, архитектура, благоустройство)",скорее важны,3,мужской,45-54,местный житель,1,1,0,0,,
Центральный парк,Центральный парк,"комфорт и развлечения, здесь можно долго и комфортно проводить время",положительные,2,"визуальные и средовые компоненты (материальные объекты, архитектура, благоустройство)",скорее важны,3,женский,35-44,турист,1,0,1,0,,
Центральный парк,Парк с единорогом,"Очень много интересных элементов, и озеро, и скульптуры разнообразные. И удобно, потому что лавочки, ларьки, детская площадка.",положительные,2,"визуальные и средовые компоненты (материальные объекты, архитектура, благоустройство)",важны,4,мужской,35-44,турист,1,0,1,0,,
Центральный парк,ЦПКиО в центре),"Первое впечатление - восторг и удивление от размеров и внешнего вида парка, также некоторая усталость от того что мы по нему очень часто ходили) вызывает интерес и радость за Выксу, что у них есть такое сильное место",положительные,2,"уникальные или знаковые события (праздники и фестивали, исторические даты, мифы и легенды)",важны,4,женский,18-24,"эксперт (урбанист, экскурсовод, работник местной администрации)",1,0,0,1,,
Центральный парк,Парк культуры и отдыха ,"Радует ощущение кипящей жизни, одновременно и уют, есть уединенность и белочки",положительные,2,природные особенности,важны,4,мужской,35-44,"эксперт (урбанист, экскурсовод, работник местной администрации)",1,0,0,1,,
Центральный парк,Центральный парк,приятные,положительные,2,"визуальные и средовые компоненты (материальные объекты, архитектура, благоустройство)",скорее важны,3,мужской,18-24,местный житель,1,1,0,0,,
Центральный парк,Парк,Практически исключительно положительные.,положительные,2,природные особенности,важны,4,мужской,до 18 лет,местный житель,1,1,0,0,,
Центральный парк,Парк,Положительные (много воспоминаний),положительные,2,природные особенности,важны,4,женский,35-44,местный житель,1,1,0,0,,
Центральный парк,Парк,Радость и спокойствие ,положительные,2,природные особенности,важны,4,женский,35-44,местный житель,1,1,0,0,,
Центральный парк,Парк культуры,Покой и умиротворение ,положительные,2,"визуальные и средовые компоненты (материальные объекты, архитектура, благоустройство)",важны,4,женский,45-54,местный житель,1,1,0,0,,
Центральный парк,Парк,"Радость от созерцания красоты природы, умиротворение, воспоминания из детства ",положительные,2,природные особенности,важны,4,женский,35-44,местный житель,1,1,0,0,,
"Скульптура ""Единорог""",Скульптура единорог,"удивление, уникальность. это новый символ города, на всех открытках",положительные,2,"статусы, бренды, репутация города (например, “Выкса – город современного искусства”)",важны,4,женский,25-34,турист,1,0,1,0,,
"Скульптура ""Единорог""","Скульптура ""Единорог""","Необычная скульптура, за счет этого она и запоминается. Современная, но отражает историю города (единорог был когда-то на гербе города).",положительные,2,"статусы, бренды, репутация города (например, “Выкса – город современного искусства”)",важны,4,женский,45-54,турист,1,0,1,0,,
Пруд Лебединка,Пред Лебединка. Он находиться в парке г. Выкса,"В этом месте я проводила очень много времени. На всех праздниках мы собирались здесь с друзьями. Также мы любили с мужем, когда были еще школьниками, там сидеть на качелях и наблюдать за лебедями. Это место где я проживала и радость, и обиду, и слезы. Также я наблюдала как менялось это место от маленького не ухоженного пруда, до уже современно оборудованного объекта. ",положительные,2,"уникальные или знаковые события (праздники и фестивали, исторические даты, мифы и легенды)",важны,4,женский,55-64,местный житель,1,1,0,0,,
Пруд Лебединка,Пруд в парке,тишь да гладь,положительные,2,природные особенности,важны,4,женский,25-34,турист,1,0,1,0,,
